epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,583.494,0.37325,0.54939,0.55326,0.97722,0.85615,0.94602,0.90012,0.78611,0.77057,0.85721,0.79412,0.73819,0.47174,0.16025,0.51762,1.06174,0.000574233,0.000574233,0.000574233
95,589.706,0.35923,0.49258,0.56886,0.96117,0.84161,0.9474,0.9025,0.82056,0.7734,0.87646,0.81918,0.76232,0.45011,0.13599,0.47887,1.04827,0.000570634,0.000570634,0.000570634
96,595.824,0.33964,0.57612,0.52944,0.96895,0.75894,0.96429,0.9441,0.81823,0.65625,0.85714,0.82988,0.80206,0.40684,0.13235,0.53397,1.04661,0.000567034,0.000567034,0.000567034
97,602.142,0.3626,0.53856,0.5305,0.9663,0.70088,0.96298,0.84089,0.73611,0.61714,0.87464,0.74029,0.70706,0.43918,0.12991,0.61163,1.07488,0.000563435,0.000563435,0.000563435
98,608.295,0.34946,0.59355,0.57147,0.94254,0.84681,0.88301,0.87631,0.76656,0.75995,0.79373,0.775,0.72829,0.483,0.13079,0.54877,1.12391,0.000559835,0.000559835,0.000559835
99,614.51,0.3659,0.69294,0.57441,0.97215,0.83645,0.89286,0.86917,0.79256,0.7674,0.82143,0.7896,0.73392,0.44641,0.14062,0.53418,1.09634,0.000556235,0.000556235,0.000556235
100,620.65,0.32092,0.50903,0.55564,0.93564,0.77607,0.89286,0.93684,0.83808,0.69194,0.80357,0.83431,0.79006,0.45577,0.14245,0.58621,1.04952,0.000552636,0.000552636,0.000552636
101,626.853,0.34357,0.48735,0.538,0.96838,0.87199,0.96429,0.97357,0.86048,0.82025,0.91071,0.90615,0.8264,0.50701,0.14077,0.51927,1.1203,0.000549036,0.000549036,0.000549036
102,633.325,0.33391,0.56608,0.50476,0.96433,0.89974,0.92362,0.9025,0.79498,0.83007,0.85219,0.81071,0.75931,0.52624,0.15475,0.56317,1.17063,0.000545436,0.000545436,0.000545436
103,639.548,0.34455,0.58655,0.55365,0.95407,0.89346,0.9248,0.90607,0.7986,0.80662,0.83551,0.81469,0.75954,0.54165,0.15709,0.58976,1.18913,0.000541837,0.000541837,0.000541837
104,645.644,0.35004,0.4905,0.54191,0.97008,0.82731,0.96429,0.91679,0.7866,0.74297,0.875,0.81901,0.76509,0.50427,0.13407,0.49835,1.16177,0.000538237,0.000538237,0.000538237
105,651.923,0.35246,0.49966,0.5717,0.96446,0.70655,0.92857,0.90964,0.79314,0.62314,0.83929,0.79712,0.76831,0.45987,0.12444,0.55658,1.11147,0.000534637,0.000534637,0.000534637
106,658.044,0.34156,0.48586,0.54468,0.95191,0.82903,0.90555,0.90409,0.76095,0.70801,0.78055,0.76689,0.75086,0.56146,0.1249,0.61305,1.24193,0.000531038,0.000531038,0.000531038
107,664.266,0.33817,0.46658,0.5328,0.94805,0.78787,0.90738,0.9831,0.82639,0.70133,0.81809,0.87383,0.80887,0.57545,0.12904,0.58862,1.2815,0.000527438,0.000527438,0.000527438
108,670.405,0.34021,0.46914,0.5023,0.94602,0.89604,0.93468,0.98786,0.85845,0.79185,0.82754,0.8781,0.84171,0.48265,0.13496,0.50826,1.1575,0.000523839,0.000523839,0.000523839
109,678.944,0.32849,0.52592,0.49384,0.9321,0.87749,0.93937,0.97969,0.85462,0.79061,0.8503,0.87503,0.82282,0.51576,0.14302,0.54077,1.16753,0.000520239,0.000520239,0.000520239
110,684.974,0.3263,0.53841,0.51416,0.94399,0.93723,0.88612,0.98786,0.88956,0.83323,0.77898,0.85864,0.84701,0.44516,0.15318,0.52484,1.09382,0.000516639,0.000516639,0.000516639
111,691.596,0.34987,0.5198,0.64449,0.96097,0.93328,0.92321,0.9831,0.85609,0.86385,0.85179,0.88214,0.82204,0.41287,0.16028,0.5155,1.04344,0.00051304,0.00051304,0.00051304
112,697.942,0.33586,0.57274,0.58334,0.9383,0.83156,0.96429,0.95952,0.8545,0.74448,0.875,0.84552,0.78618,0.38003,0.18457,0.55701,0.9823,0.00050944,0.00050944,0.00050944
113,704.128,0.34024,0.52938,0.52028,0.94976,0.79339,0.96429,0.87881,0.73021,0.70744,0.875,0.76377,0.68159,0.41031,0.15224,0.61961,1.01592,0.00050584,0.00050584,0.00050584
114,710.085,0.33705,0.51032,0.54707,0.94946,0.79196,0.95228,0.86696,0.77942,0.70847,0.86327,0.7511,0.71075,0.40867,0.23336,0.54007,1.02573,0.000502241,0.000502241,0.000502241
115,716.338,0.34286,0.50806,0.57014,0.94806,0.71641,0.96429,0.84315,0.77888,0.61771,0.85714,0.71261,0.69519,0.42732,0.2158,0.53334,1.04418,0.000498641,0.000498641,0.000498641
116,722.281,0.32912,0.60045,0.53804,0.96065,0.94729,0.80563,0.88238,0.80198,0.86013,0.717,0.77739,0.73722,0.44643,0.15266,0.54508,1.06055,0.000495041,0.000495041,0.000495041
117,728.438,0.32999,0.57164,0.53691,0.96262,0.7729,0.96429,0.9831,0.82939,0.68781,0.875,0.86901,0.82071,0.45663,0.13318,0.52091,1.12517,0.000491442,0.000491442,0.000491442
118,734.381,0.32459,0.45927,0.48919,0.93633,0.8239,0.92426,0.90964,0.78958,0.73679,0.83498,0.8075,0.76281,0.43299,0.1486,0.56592,1.10183,0.000487842,0.000487842,0.000487842
119,740.637,0.33441,0.56865,0.55707,0.97431,0.86928,0.91361,0.98786,0.87514,0.782,0.82432,0.89152,0.85401,0.40774,0.14549,0.54356,1.06392,0.000484242,0.000484242,0.000484242
120,746.563,0.32648,0.57763,0.5232,0.94336,0.93699,0.87471,0.96405,0.87584,0.86635,0.80365,0.87827,0.83213,0.40726,0.14006,0.44971,1.05277,0.000480643,0.000480643,0.000480643
121,752.868,0.31244,0.51224,0.48395,0.95143,0.94388,0.95156,0.995,0.85341,0.85656,0.86245,0.89287,0.83414,0.4922,0.13823,0.41908,1.13758,0.000477043,0.000477043,0.000477043
122,758.792,0.32081,0.50324,0.53008,0.93834,0.89791,0.95645,0.98786,0.87531,0.81123,0.86716,0.8817,0.84856,0.49391,0.13656,0.43266,1.14075,0.000473444,0.000473444,0.000473444
123,765.102,0.34389,0.54168,0.54292,0.94902,0.89813,0.96429,0.97516,0.8841,0.8286,0.89286,0.88919,0.84495,0.45968,0.13314,0.44182,1.0875,0.000469844,0.000469844,0.000469844
124,771.022,0.33305,0.52913,0.53094,0.95233,0.89828,0.96429,0.97516,0.87053,0.82823,0.89286,0.87912,0.84218,0.42942,0.13266,0.43793,1.06607,0.000466244,0.000466244,0.000466244
125,777.29,0.32077,0.51451,0.47924,0.933,0.88849,0.96429,0.97516,0.86295,0.8361,0.91071,0.90624,0.85107,0.42161,0.13654,0.43315,1.06606,0.000462645,0.000462645,0.000462645
126,783.317,0.29923,0.45083,0.46677,0.93308,0.87216,0.95803,0.91679,0.8578,0.81984,0.90446,0.84204,0.78871,0.34774,0.13611,0.47368,0.98682,0.000459045,0.000459045,0.000459045
127,789.553,0.30049,0.41309,0.4378,0.93429,0.89182,0.95907,0.91679,0.86316,0.83881,0.90637,0.8421,0.78808,0.33409,0.13508,0.47169,0.97269,0.000455445,0.000455445,0.000455445
128,795.674,0.33056,0.57543,0.49219,0.9524,0.87482,0.96429,0.91202,0.85328,0.82259,0.91071,0.86243,0.78858,0.32593,0.13014,0.44888,0.96624,0.000451846,0.000451846,0.000451846
